,OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
32,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,140000090,Parent Facility,2500 ALHAMBRA AVENUE,MARTINEZ,94553,7,Contra Costa,Open,1953-07-02,Hospital,General Acute Care Hospital,38.0060892,-122.1327778
33,106070934,SUTTER DELTA MEDICAL CENTER,140000258,Parent Facility,3901 LONE TREE WAY,ANTIOCH,94509,7,Contra Costa,Open,1967-02-02,Hospital,General Acute Care Hospital,37.9827593,-121.8029656
34,106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,140000265,Parent Facility,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,7,Contra Costa,Open,1965-06-15,Hospital,General Acute Care Hospital,37.9128769,-122.0409498
35,106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,140000290,Parent Facility,1425 SOUTH MAIN STREET,WALNUT CREEK,94596,7,Contra Costa,Open,1953-09-11,Hospital,General Acute Care Hospital,37.8915065,-122.0580137
36,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,140000128,Parent Facility,2540 EAST STREET,CONCORD,94520,7,Contra Costa,Open,1946-01-01,Hospital,General Acute Care Hospital,37.9851726,-122.0336632
37,106074011,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,140000345,Consolidated Facility,7777 NORRIS CANYON ROAD,SAN RAMON,94583,7,Contra Costa,Open,2008-06-01,Hospital,General Acute Care Hospital,37.7746495,-121.9571762
38,106074017,SAN RAMON REGIONAL MEDICAL CENTER,140000345,Parent Facility,6001 NORRIS CANYON ROAD,SAN RAMON,94583,7,Contra Costa,Open,1990-02-12,Hospital,General Acute Care Hospital,37.7752251,-121.958176
39,106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,140000418,Parent Facility,2740 GRANT STREET,CONCORD,94520,7,Contra Costa,Open,1993-03-10,Hospital,Acute Psychiatric Hospital,37.9858297,-122.0367315
40,106074093,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,140000052,Consolidated Facility,901 NEVIN AVE,RICHMOND,94801,7,Contra Costa,Open,1995-09-07,Hospital,General Acute Care Hospital,37.9375573,-122.3611049
41,106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,550000614,Parent Facility,4501 SAND CREEK ROAD,ANTIOCH,94531,7,Contra Costa,Open,2007-11-07,Hospital,General Acute Care Hospital,37.9508418,-121.7749286
42,106084001,SUTTER COAST HOSPITAL,110000067,Parent Facility,800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,95531,8,Del Norte,Open,1946-01-01,Hospital,General Acute Care Hospital,41.7736588,-124.1942469
43,106090793,BARTON MEMORIAL HOSPITAL,030000013,Parent Facility,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,9,El Dorado,Open,1963-11-21,Hospital,General Acute Care Hospital,38.9115633,-119.9965447
44,106090933,MARSHALL MEDICAL CENTER,030000059,Parent Facility,1100 MARSHALL WAY,PLACERVILLE,95667,9,El Dorado,Open,1959-05-22,Hospital,General Acute Care Hospital,38.72467,-120.7916501
45,106094002,TELECARE EL DORADO COUNTY P.H.F.,M20016057,Parent Facility,935B SPRING ST,PLACERVILLE,95667,9,El Dorado,Open,1988-01-29,Hospital,Psychiatric Health Facility,38.7322778,-120.801854
46,106100005,CLOVIS COMMUNITY MEDICAL CENTER,040000004,Parent Facility,2755 HERNDON AVENUE,CLOVIS,93611,10,Fresno,Open,1988-12-15,Hospital,General Acute Care Hospital,36.8388469,-119.6611827
47,106100697,COALINGA REGIONAL MEDICAL CENTER,040000085,Parent Facility,1191 PHELPS AVENUE,COALINGA,93210,10,Fresno,Open,2020-12-02,Hospital,General Acute Care Hospital,36.1519675,-120.3409955
48,106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,040000096,Parent Facility,2823 FRESNO STREET,FRESNO,93721,10,Fresno,Open,1946-01-01,Hospital,General Acute Care Hospital,36.7426302,-119.7847479
49,106100793,ADVENTIST HEALTH SELMA,550001439,Consolidated Facility,1141 ROSE AVENUE,SELMA,93662,10,Fresno,Open,2005-10-29,Hospital,General Acute Care Hospital,36.5673321,-119.597979
50,106100797,ADVENTIST HEALTH REEDLEY,040000149,Parent Facility,372 WEST CYPRESS AVENUE,REEDLEY,93654,10,Fresno,Open,1965-04-14,Hospital,General Acute Care Hospital,36.6081792,-119.4531164
51,106100899,ST. AGNES MEDICAL CENTER,040000173,Parent Facility,1303 EAST HERNDON AVENUE,FRESNO,93720,10,Fresno,Open,1975-03-22,Hospital,General Acute Care Hospital,36.8342377,-119.763776
52,106104008,COMMUNITY BEHAVIORAL HEALTH CENTER,040000096,Consolidated Facility,7171 NORTH CEDAR AVENUE,FRESNO,93720,10,Fresno,Open,1987-10-01,Hospital,General Acute Care Hospital,36.8407999,-119.7568442
53,106104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,040000280,Parent Facility,7173 N. SHARON AVENUE,FRESNO,93720,10,Fresno,Open,1991-01-23,Hospital,General Acute Care Hospital,36.8398907,-119.7606546
54,106104047,FRESNO SURGICAL HOSPITAL,040000332,Parent Facility,6125 NORTH FRESNO STREET,FRESNO,93710,10,Fresno,Open,1993-02-23,Hospital,General Acute Care Hospital,36.8248469,-119.7819298
55,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,040000384,Parent Facility,7300 NORTH FRESNO STREET,FRESNO,93720,10,Fresno,Open,1995-02-23,Hospital,General Acute Care Hospital,36.8424331,-119.780467
56,106104089,EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO,M20016059,Parent Facility,4411 E. KINGS CANYON ROAD,FRESNO,93702,10,Fresno,Open,2016-01-01,Hospital,Psychiatric Health Facility,36.7370079,-119.7519797
57,106105029,FRESNO HEART AND SURGICAL HOSPITAL,040000096,Consolidated Facility,15 E. AUDUBON DR.,FRESNO,93720,10,Fresno,Open,2015-09-01,Hospital,General Acute Care Hospital,36.8600367,-119.7886341
58,106105051,DEPARTMENT OF STATE HOSPITALS - COALINGA,550000061,Parent Facility,24511 WEST JAYNE AVENUE,COALINGA,93210,10,Fresno,Open,2005-08-25,Hospital,Acute Psychiatric Hospital,36.130667,-120.2388771
59,106105125,CENTRAL STAR PSYCHIATRIC HEALTH FACILITY,M20016058,Parent Facility,4411 E Kings Canyon Rd,Fresno,93702,10,Fresno,Open,2015-04-17,Hospital,Psychiatric Health Facility,36.736926,-119.7515452
60,106110889,GLENN MEDICAL CENTER,230000018,Parent Facility,1133 WEST SYCAMORE STREET,WILLOWS,95988,11,Glenn,Open,1953-07-01,Hospital,General Acute Care Hospital,39.5213602,-122.2084362
61,106120981,THE GENERAL HOSPITAL,110000075,Consolidated Facility,2200 HARRISON AVENUE,EUREKA,95501,12,Humboldt,Open,1953-07-01,Hospital,General Acute Care Hospital,40.7884181,-124.1403901
62,106121002,MAD RIVER COMMUNITY HOSPITAL,110000031,Parent Facility,3800 JANES ROAD,ARCATA,95521,12,Humboldt,Open,1972-10-26,Hospital,General Acute Care Hospital,40.8964923,-124.0899265
63,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,110000052,Parent Facility,733 CEDAR STREET,GARBERVILLE,95542,12,Humboldt,Open,1963-08-20,Hospital,General Acute Care Hospital,40.1016491,-123.7922617
64,106121051,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,110000173,Parent Facility,3300 RENNER DRIVE,FORTUNA,95540,12,Humboldt,Open,1957-03-19,Hospital,General Acute Care Hospital,40.5823366,-124.1363749
65,106121080,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA,110000075,Parent Facility,2700 DOLBEER STREET,EUREKA,95501,12,Humboldt,Open,1954-07-26,Hospital,General Acute Care Hospital,40.784389,-124.141634
66,106124004,SEMPERVIRENS P.H.F.,M10016003,Parent Facility,720 WOOD STREET,EUREKA,95501,12,Humboldt,Open,1988-01-29,Hospital,Psychiatric Health Facility,40.7809769,-124.1610467
67,106130699,EL CENTRO REGIONAL MEDICAL CENTER,090000004,Parent Facility,1415 ROSS AVENUE,EL CENTRO,92243,13,Imperial,Open,1967-01-21,Hospital,General Acute Care Hospital,32.7811032,-115.5676689
68,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,090000087,Parent Facility,207 WEST LEGION ROAD,BRAWLEY,92227,13,Imperial,Open,1950-11-06,Hospital,General Acute Care Hospital,32.958949,-115.5537006
69,106141273,NORTHERN INYO HOSPITAL,240000179,Parent Facility,150 PIONEER LANE,BISHOP,93514,14,Inyo,Open,1948-05-14,Hospital,General Acute Care Hospital,37.3619709,-118.4061853
70,106141338,SOUTHERN INYO HOSPITAL,240000205,Parent Facility,501 EAST LOCUST STREET,LONE PINE,93545,14,Inyo,Open,1952-03-31,Hospital,General Acute Care Hospital,36.6090539,-118.0578529
71,106150706,ADVENTIST HEALTH DELANO,120000180,Parent Facility,1401 GARCES HIGHWAY,DELANO,93215,15,Kern,Open,1974-01-01,Hospital,General Acute Care Hospital,35.7622854,-119.2392519
72,106150722,BAKERSFIELD MEMORIAL HOSPITAL,120000181,Parent Facility,420 34TH STREET,BAKERSFIELD,93301,15,Kern,Open,1956-09-27,Hospital,General Acute Care Hospital,35.3928295,-119.0061541
73,106150736,KERN MEDICAL CENTER,120000182,Parent Facility,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,15,Kern,Open,1953-07-01,Hospital,General Acute Care Hospital,35.3828699,-118.970257
74,106150737,KERN VALLEY HEALTHCARE DISTRICT,120000183,Parent Facility,6412 LAUREL AVENUE,LAKE ISABELLA,93240,15,Kern,Open,1968-06-17,Hospital,General Acute Care Hospital,35.6352884,-118.4064635
75,106150761,MERCY HOSPITAL - BAKERSFIELD,120000184,Parent Facility,2215 TRUXTUN AVENUE,BAKERSFIELD,93301,15,Kern,Open,1947-01-01,Hospital,General Acute Care Hospital,35.3728014,-119.0267624
76,106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,120000146,Parent Facility,901 OLIVE DRIVE,BAKERSFIELD,93308,15,Kern,Open,1960-05-10,Hospital,General Acute Care Hospital,35.411696,-119.0396283
77,106150782,RIDGECREST REGIONAL HOSPITAL,120000186,Parent Facility,1081 NORTH CHINA LAKE BLVD.,RIDGECREST,93555,15,Kern,Open,1946-09-30,Hospital,General Acute Care Hospital,35.6407445,-117.6711685
78,106150788,ADVENTIST HEALTH BAKERSFIELD,120000187,Parent Facility,2615 CHESTER AVENUE,BAKERSFIELD,93301,15,Kern,Open,1973-05-01,Hospital,General Acute Care Hospital,35.3833744,-119.0206543
79,106150820,BAKERSFIELD REHABILITATION HOSPITAL,550007875,Parent Facility,4400 KIRKCALDY DRIVE,BAKERSFIELD,93306,15,Kern,Open,2022-03-10,Hospital,General Acute Care Hospital,35.3950081,-118.9189693
80,106154022,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,120000248,Parent Facility,5001 COMMERCE DRIVE,BAKERSFIELD,93309,15,Kern,Open,1990-05-01,Hospital,General Acute Care Hospital,35.3671521,-119.0574546
81,106154044,"BAKERSFIELD BEHAVORIAL HEALTHCARE HOSPITAL, LLC",550003535,Parent Facility,5201 WHITE LANE,BAKERSFIELD,93309,15,Kern,Open,2016-06-01,Hospital,Acute Psychiatric Hospital,35.3164545,-119.060612
82,106154101,BAKERSFIELD HEART HOSPITAL,120000187,Consolidated Facility,3001 SILLECT AVENUE,BAKERSFIELD,93308,15,Kern,Open,2023-11-28,Hospital,General Acute Care Hospital,35.3847081,-119.0399171
83,106154108,MERCY SOUTHWEST HOSPITAL,120000184,Consolidated Facility,400 OLD RIVER RD,BAKERSFIELD,93311,15,Kern,Open,1992-07-15,Hospital,General Acute Care Hospital,35.3515393,-119.1124392
84,106154160,CRESTWOOD PSYCHIATRIC HEALTH FACILITY BAKERSFIELD,M02016045,Parent Facility,6700 Eucalyptus Dr,Bakersfield,93306,15,Kern,Open,2010-11-15,Hospital,Psychiatric Health Facility,35.3657867,-118.9296647
85,106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,120000188,Parent Facility,1100 MAGELLAN DRIVE,TEHACHAPI,93561,15,Kern,Open,2018-11-01,Hospital,General Acute Care Hospital,35.1476985,-118.4509007
86,106164029,ADVENTIST HEALTH HANFORD,550001439,Parent Facility,115 MALL DRIVE,HANFORD,93230,16,Kings,Open,2010-12-05,Hospital,General Acute Care Hospital,36.3232171,-119.667877
87,106171049,ADVENTIST HEALTH CLEARLAKE,110000174,Parent Facility,15630 18TH AVE,CLEARLAKE,95422,17,Lake,Open,1968-04-18,Hospital,General Acute Care Hospital,38.9356064,-122.6202387
88,106171395,SUTTER LAKESIDE HOSPITAL,110000094,Parent Facility,5176 HILL ROAD EAST,LAKEPORT,95453,17,Lake,Open,1978-04-28,Hospital,General Acute Care Hospital,39.1047366,-122.9065198
89,106184008,BANNER LASSEN MEDICAL CENTER,230000020,Parent Facility,1800 SPRING RIDGE DRIVE,SUSANVILLE,96130,18,Lassen,Open,2003-04-23,Hospital,General Acute Care Hospital,40.4368049,-120.6280337
90,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,930000005,Parent Facility,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,19,Los Angeles,Open,1946-01-01,Hospital,General Acute Care Hospital,34.0906429,-118.1437655
91,106190020,BHC ALHAMBRA HOSPITAL,930000006,Parent Facility,4619 ROSEMEAD BOULEVARD,ROSEMEAD,91770,19,Los Angeles,Open,1946-01-01,Hospital,Acute Psychiatric Hospital,34.0887274,-118.0738133
92,106190034,ANTELOPE VALLEY MEDICAL CENTER,930000008,Parent Facility,1600 WEST AVENUE J,LANCASTER,93534,19,Los Angeles,Open,1955-09-27,Hospital,General Acute Care Hospital,34.6882482,-118.1591527
93,106190040,BEST CARE UNLIMITED HOME HEALTH,550006489,Parent Facility,13425 Ventura Blvd,Sherman Oaks,91423,19,Los Angeles,Open,2021-07-06,Home Health Agency/Hospice,Home Health Agency,34.14735,-118.42578
94,106190045,CATALINA ISLAND MEDICAL CENTER,930000010,Parent Facility,100 FALLS CANYON ROAD,AVALON,90704,19,Los Angeles,Open,1946-01-01,Hospital,General Acute Care Hospital,33.3391874,-118.3306829
95,106190049,KINDRED HOSPITAL - BALDWIN PARK,930000390,Parent Facility,14148 FRANCISQUITO AVENUE,BALDWIN PARK,91706,19,Los Angeles,Open,2003-12-23,Hospital,General Acute Care Hospital,34.0630569,-117.9676425
96,106190050,HENRY MAYO NEWHALL MEMORIAL HOSPITAL D/P APH,930000206,Distinct Part Facility,25727 MCBEAN PARKWAY,VALENCIA,91355,19,Los Angeles,Open,2022-11-30,Hospital,General Acute Care Hospital,34.3988591,-118.5526337
97,106190052,BARLOW RESPIRATORY HOSPITAL,930000011,Parent Facility,2000 STADIUM WAY,LOS ANGELES,90026,19,Los Angeles,Open,1946-01-01,Hospital,General Acute Care Hospital,34.0761338,-118.2481282
98,106190053,ST. MARY MEDICAL CENTER - LONG BEACH,930000012,Parent Facility,1050 LINDEN AVENUE,LONG BEACH,90813,19,Los Angeles,Open,1946-01-01,Hospital,General Acute Care Hospital,33.7805577,-118.1862725
99,106190066,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,930000039,Consolidated Facility,9542 ARTESIA BOULEVARD,BELLFLOWER,90706,19,Los Angeles,Open,2015-07-23,Hospital,General Acute Care Hospital,33.8743136,-118.1297319
100,106190081,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,930000195,Consolidated Facility,309 WEST BEVERLY BOULEVARD,MONTEBELLO,90640,19,Los Angeles,Open,2023-09-06,Hospital,General Acute Care Hospital,34.0155611,-118.1000602
101,106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,930000066,Consolidated Facility,3828 DELMAS TERRACE,CULVER CITY,90232,19,Los Angeles,Open,2013-01-01,Hospital,General Acute Care Hospital,34.0232001,-118.3969128
102,106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,930000024,Parent Facility,1401 SOUTH GRAND AVENUE,LOS ANGELES,90015,19,Los Angeles,Open,1946-01-01,Hospital,General Acute Care Hospital,34.0373967,-118.2657271
103,106190137,CASA COLINA HOSPITAL,930000026,Parent Facility,255 EAST BONITA AVENUE,POMONA,91767,19,Los Angeles,Open,1961-02-28,Hospital,General Acute Care Hospital,34.0969241,-117.7457692
104,106190148,CENTINELA HOSPITAL MEDICAL CENTER,930000027,Parent Facility,555 EAST HARDY STREET,INGLEWOOD,90301,19,Los Angeles,Open,1946-01-01,Hospital,General Acute Care Hospital,33.9504198,-118.3481987
105,106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,930000028,Parent Facility,4211 AVALON BOULEVARD,LOS ANGELES,90011,19,Los Angeles,Open,1973-10-17,Hospital,Acute Psychiatric Hospital,34.0072184,-118.2655578
106,106190155,"CALIFORNIA REHABILITATION INSTITUTE, LLC",930000029,Parent Facility,2070 CENTURY PARK EAST,LOS ANGELES,90067,19,Los Angeles,Open,2016-07-19,Hospital,General Acute Care Hospital,34.0591167,-118.4118833
107,106190159,PACIFIC GARDENS MEDICAL CENTER,930000030,Parent Facility,21530 PIONEER BOULEVARD,HAWAIIAN GARDENS,90716,19,Los Angeles,Suspense,2021-08-24,Hospital,General Acute Care Hospital,33.8335701,-118.0801696
108,106190163,AURORA CHARTER OAK,930000031,Parent Facility,1161 EAST COVINA BOULEVARD,COVINA,91724,19,Los Angeles,Open,1946-01-01,Hospital,Acute Psychiatric Hospital,34.0998193,-117.8664669
109,106190170,CHILDREN'S HOSPITAL OF LOS ANGELES,930000032,Parent Facility,4650 W. SUNSET BOULEVARD,LOS ANGELES,90027,19,Los Angeles,Open,1946-01-01,Hospital,General Acute Care Hospital,34.0981547,-118.2907791
110,106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,930000033,Parent Facility,1500 DUARTE ROAD,DUARTE,91010,19,Los Angeles,Open,1946-03-08,Hospital,General Acute Care Hospital,34.1291938,-117.9728148
111,106190184,COLLEGE HOSPITAL,930000036,Parent Facility,10802 COLLEGE PLACE,CERRITOS,90703,19,Los Angeles,Open,1974-04-14,Hospital,Acute Psychiatric Hospital,33.8844022,-118.1032151
112,106190196,KINDRED HOSPITAL - SOUTH BAY,930000037,Parent Facility,1246 WEST 155TH STREET,GARDENA,90247,19,Los Angeles,Open,1957-07-17,Hospital,General Acute Care Hospital,33.8897785,-118.2972885
113,106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,930000038,Parent Facility,2623 EAST SLAUSON AVENUE,HUNTINGTON PARK,90255,19,Los Angeles,Open,1957-12-31,Hospital,General Acute Care Hospital,33.9892161,-118.2245406
114,106190198,LOS ANGELES COMMUNITY HOSPITAL,930000039,Parent Facility,4081 EAST OLYMPIC BOULEVARD,LOS ANGELES,90023,19,Los Angeles,Open,1957-10-24,Hospital,General Acute Care Hospital,34.0193498,-118.1865467
115,106190200,SAN GABRIEL VALLEY MEDICAL CENTER,930000041,Parent Facility,438 W. LAS TUNAS DRIVE,SAN GABRIEL,91776,19,Los Angeles,Open,1960-08-17,Hospital,General Acute Care Hospital,34.100917,-118.1055926
116,106190232,DEL AMO BEHAVIORAL HEALTH SYSTEM,930000045,Parent Facility,23700 CAMINO DEL SOL,TORRANCE,90505,19,Los Angeles,Open,1972-10-25,Hospital,Acute Psychiatric Hospital,33.8101866,-118.3433503
117,106190240,UCI HEALTH-LAKEWOOD,930000046,Parent Facility,3700 SOUTH STREET,LAKEWOOD,90712,19,Los Angeles,Open,1972-05-17,Hospital,General Acute Care Hospital,33.8596883,-118.1482913
118,106190243,PIH HEALTH HOSPITAL - DOWNEY,930000048,Parent Facility,11500 BROOKSHIRE AVENUE,DOWNEY,90241,19,Los Angeles,Open,1969-09-18,Hospital,General Acute Care Hospital,33.9341503,-118.1317434
119,106190256,EAST LOS ANGELES DOCTORS HOSPITAL,930000049,Parent Facility,4060 WHITTIER BOULEVARD,LOS ANGELES,90023,19,Los Angeles,Open,1949-08-15,Hospital,General Acute Care Hospital,34.0230479,-118.1843988
